No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
H1 ,Miscellaneous hardstones,Gebel Ahmar ,30.05266,31.29567,Silicified sandstone ,P ,4,,,,,,,,,,,,,,
H2 ,Miscellaneous hardstones,Widan el-Faras ,29.66001,30.62001,Basalt ,P ,3,,,,,,,,,,,,,,
H3 ,Miscellaneous hardstones,Tilal Sawda ,28.52001,30.54833,Basalt ,GR ,3,,,,,,,,,,,,,,
H4 ,Miscellaneous hardstones,Wadi Abu Aggag ,24.14167,32.91001,Silicified sandstone ,P/GR ,3,,,,,,,,,,,,,,
H5 ,Miscellaneous hardstones,Gebels Gulab and Tingar ,24.10676,32.87827,Silicified sandstone ,P/GR ,1,,,,,,,,,,,,,,
H6 ,Miscellaneous hardstones,Aswan ,24.06176,32.89661,"Granite, granodiorite ",P/GR ,3,,,,,,,,,,,,,,
H7 ,Miscellaneous hardstones,Chephren’s Quarry ,22.80677,31.22657,Anorthosite-gabbro gneiss ,P ,2,,,,,,,,,,,,,,
H10 ,Miscellaneous hardstones,Gebel Manzal el-Seyl ,27.54333,33.13001,"Tuff, tuffaceous limestone ",PH/ED 1,,,,,,,,,,,,,,,
H11 ,Miscellaneous hardstones,Wadi Umm Sidri ,27.29701,33.30067,Quartz syenite porphyry ,GR ,1,,,,,,,,,,,,,,
H12a ,Miscellaneous hardstones,Mons Porphyrites ,27.25178,33.30165,Andesite-dacite porphyry ,GR ,1,,,,,,,,,,,,,,
H12b ,Miscellaneous hardstones,Wadi Abu Maamel ,27.25033,33.30133,Granite ,GR ,1,,,,,,,,,,,,,,
H13 ,Miscellaneous hardstones,Badia ,27.21451,33.34417,Granite ,GR ,1,,,,,,,,,,,,,,
H14,Miscellaneous hardstones, Wadi Umm Towat ,27.17017,33.24217, Trachyandesite porphyry ,GR ,1,,,,,,,,,,,,,,
H15 ,Miscellaneous hardstones,Wadi Umm Balad ,27.15233,33.28517,Quartz diorite ,GR ,1,,,,,,,,,,,,,,
H16 ,Miscellaneous hardstones,Wadi Qattar ,27.08001,33.23683,Granodiorite ,GR ,1,,,,,,,,,,,,,,
H17 ,Miscellaneous hardstones,Wadi Umm Shegilat ,26.94367,33.24851,Pegmatitic diorite ,GR ,1,,,,,,,,,,,,,,
H18 ,Miscellaneous hardstones,Mons Claudianus ,26.80917,33.48667,Tonalite gneiss ,GR ,1,,,,,,,,,,,,,,
H19 ,Miscellaneous hardstones,Wadi Barud ,26.76533,33.57167,Quartz diorite ,GR ,1,,,,,,,,,,,,,,
H20 ,Miscellaneous hardstones,Wadi Umm Huyut ,26.75101,33.46851,Tonalite gneiss ,GR ,1,,,,,,,,,,,,,,
H21 ,Miscellaneous hardstones,Wadi Fatiri el-Bayda ,26.73383,33.32317,Quartz diorite ,GR ,1,,,,,,,,,,,,,,
H22 ,Miscellaneous hardstones,Wadi Umm Wikala ,26.43067,33.66367,Metagabbro ,GR ,1,,,,,,,,,,,,,,
H23 ,Miscellaneous hardstones,Wadi Abu Gerida ,26.36283,33.28533,Rhyolite porphyry ,GR ,1,,,,,,,,,,,,,,
H24 ,Miscellaneous hardstones,Wadi Maghrabiya ,26.31233,33.39633,Metagabbro ,GR ,1,,,,,,,,,,,,,,
H26 ,Miscellaneous hardstones,Wadi Umm Esh ,26.06683,33.61233,Serpentinite ,GR ,4,,,,,,,,,,,,,,
H27 ,Miscellaneous hardstones,Bir Umm Fawakhir ,26.01283,33.60851,Granodiorite-granite ,GR ,1,,,,,,,,,,,,,,
H28a ,Miscellaneous hardstones,Wadi Hammamat - E ,25.98983,33.56917,"Metagraywacke, metaconglomer. ",P/GR ,1,,,,,,,,,,,,,,
H28b ,Miscellaneous hardstones,Wadi Hammamat - W ,25.97767,33.55817,Metaconglomerate ,P/GR ,1,,,,,,,,,,,,,,
H29 ,Miscellaneous hardstones,Gebel Umm Naqqat ,25.49633,34.25317,Pegmatitic diorite ,PH/ED ,1,,,,,,,,,,,,,,
H30 ,Miscellaneous hardstones,Wadi Abu Bokari ,25.25217,33.76001,Granodiorite ,GR ,1,,,,,,,,,,,,,,
H31 ,Miscellaneous hardstones,Rod el-Gamra ,24.76183,33.98833,Dolerite porphyry ,P ,1,,,,,,,,,,,,,,
H36 ,Miscellaneous hardstones,Wadi Abu Subeira ,24.21633,32.89751,Silicified sandstone ,P/GR ,3,,,,,,,,,,,,,,
H37 ,Miscellaneous hardstones,Aswan - Hod el-Ruba ,24.06083,32.88867,Dolerite ,P ,4,,,,,,,,,,,,,,
H38 ,Miscellaneous hardstones,Aswan - Gebel el-Granite ,24.04183,32.88901,Dolerite ,P ,2,,,,,,,,,,,,,,
H39 ,Miscellaneous hardstones,Umm el-Sawan ,29.71023,30.88924,Silicified sandstone ,P ,1,,,,,,,,,,,,,,
T1 ,Travertine,Wadi el-Garawi ,29.81101,31.45951,Travertine ,P ,3,,,,,,,,,,,,,,
T2 ,Travertine,Wadi Araba / Wadi Askhar ,29.07958,32.05163,Travertine ,GR ,1,,,,,,,,,,,,,,
T3 ,Travertine,Wadi Umm Argub ,28.63501,31.26717,Travertine ,P ,3,,,,,,,,,,,,,,
T4 ,Travertine,el-Qawatir ,28.10333,30.81667,Travertine ,P ,3,,,,,,,,,,,,,,
T5 ,Travertine,Wadi el-Barshawi ,27.70617,30.93601,Travertine ,P ,2,,,,,,,,,,,,,,
T6 ,Travertine,Wadi el-Zebeida east /Abd el-Azziz  ,27.68951,30.90583,Travertine,P ,3,,,,,,,,,,,,,,
